CATEGORY;URL;ANCHORTEXT
08-DESIGNING;https://www.vanschneider.com/colors/;Tobias Van Schneider - ColorClaim
08-DESIGNING;https://typespiration.com/;Typographic-CSS - TYPEspiration
08-DESIGNING;https://graphicburger.com/;Graphic-BURGER MOCKUPS
08-DESIGNING;https://graphicriver.net/;GRAPHIC-river
08-DESIGNING;https://pinterest.com/psdcovers/psd-cover-actions/;PSDcovers-Pinterest
08-DESIGNING;https://uk.moo.com/design-templates/business-cards/;MOO CARDS - Design inspiration
08-DESIGNING;https://videohive.net/;VIDEOhive
08-DESIGNING;https://www.canva.com/templates/;CANVA Design Templates
08-DESIGNING;https://www.cssauthor.com/free-mockup-templates-psd-designs/;500+ Free Mockup Templates
08-DESIGNING;https://www.freepik.com;FreePik free vectors
08-DESIGNING;https://www.homemade-gifts-made-easy.com/personalized-poster-80th-birthday-gift.html;Typography Homemade Posters
08-DESIGNING;https://www.inkydeals.com/;INKYDEALS
08-DESIGNING;https://www.pixeden.com/psd-mock-up-templates;PIXEDEN
08-DESIGNING;https://www.psdcovers.com/;PSDcovers
