CATEGORY;URL;ANCHORTEXT
14-REACT-APPS;https://app01-homepage.abhishekpali.us/index.html;React - app01-homepage
14-REACT-APPS;https://app02-foodblogfeeds.abhishekpali.us/index.html;React - app02-foodblogfeeds
14-REACT-APPS;https://app03-tictactoe.abhishekpali.us/index.html;React - app03-tictactoe
14-REACT-APPS;https://app04-openmultiplelinks.abhishekpali.us/index.html;React - app04-openmultiplelinks
14-REACT-APPS;https://app-mggk01-image-finder.abhishekpali.us/index.html;React - app-mggk01-image-finder
14-REACT-APPS;https://app02-foodblogfeeds.vercel.app/;React Vercel - app02-foodblogfeeds
14-REACT-APPS;https://app-mggk01-image-finder.vercel.app/;React Vercel - app-mggk01-image-finder
14-REACT-APPS;https://app01-homepage.vercel.app/;React Vercel - app01-homepage
