CATEGORY;URL;ANCHORTEXT
18-MACHINELEARNING-COURSES;https://www.kaggle.com/learn;Kaggle Courses
18-MACHINELEARNING-COURSES;https://course.fast.ai/;FastAI - Deep learning course
18-MACHINELEARNING-COURSES;https://console.paperspace.com/abpa2023/projects/;Paperspace Projects (by digital ocean)
18-MACHINELEARNING-COURSES;https://developers.google.com/machine-learning;ML courses by google
18-MACHINELEARNING-COURSES;https://colab.research.google.com/;Google Colab
18-MACHINELEARNING-COURSES;https://learn.deeplearning.ai/;DeepLearning.ai - Short Courses
18-MACHINELEARNING-COURSES;https://www.deeplearning.ai/courses/;DeepLearning.ai - All Courses
18-MACHINELEARNING-COURSES;https://www.cloudskillsboost.google/paths/;Google CloudSkills Paths - Courses
