CATEGORY;URL;ANCHORTEXT
06-TRAVEL;https://www.hsl.fi/en/timetables-and-routes;HSL - timetables-and-routes
06-TRAVEL;https://reittiopas.hsl.fi/reitti/Espoonlahden%20uimah.%20E4012,%20Espoo%3A%3A60.14776,24.6582/Merivalkama,%20Espoo%3A%3A60.153275,24.631935;HSL - Espoonlahti-uimahalli → Merivalkama (146(A), 124, etc.)
06-TRAVEL;https://reittiopas.hsl.fi/reitti/Merivalkama,%20Espoo%3A%3A60.153275,24.631935/Espoonlahden%20uimah.%20E4013,%20Espoo%3A%3A60.14766,24.65846;HSL - Merivalkama → Espoonlahti-uimahalli / ice-halli (146(A), 124, etc.)
06-TRAVEL;https://www.reittiopas.fi/pysakit/HSL%3A2413211;Merivalkama → Iso-omena (146, 147, 165, etc.)
06-TRAVEL;https://www.reittiopas.fi/;HSL - Reittiopas - Journey Planner
06-TRAVEL;https://en.ilmatieteenlaitos.fi/weather/espoo/kivenlahti;Weather - Kivenlahti Finland (FMI.fi)
